freight_class,horizon,selected_model,val_sMAPE,test_sMAPE,test_R2,test_Direction,status,audit_note
kdci,1d,Validation_Weighted_Ensemble (full),1.25,0.98,0.9977,99.0%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
kdci,7d,Validation_Weighted_Ensemble (full),4.82,4.69,0.945,94.2%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
kdci,14d,Ridge_Residual_Hybrid (full),7.46,6.1,0.9122,97.6%,SUSPICIOUS,"Directional accuracy (97.6%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
kdci,30d,Validation_Weighted_Ensemble (full),10.7,8.47,0.7798,95.3%,SUSPICIOUS,"Directional accuracy (95.3%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
cape,1d,Validation_Weighted_Ensemble (full),2.61,2.4,0.9918,97.7%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
cape,7d,Validation_Weighted_Ensemble (full),9.35,9.01,0.9023,95.5%,SUSPICIOUS,"Directional accuracy (95.5%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
cape,14d,Validation_Weighted_Ensemble (full),13.31,13.77,0.7523,96.0%,SUSPICIOUS,"Directional accuracy (96.0%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
cape,30d,XGBoost (top100),19.16,18.35,0.539,100.0%,SUSPICIOUS,"Directional accuracy (100.0%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
panamax,1d,Validation_Weighted_Ensemble (full),1.01,1.11,0.9965,96.9%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
panamax,7d,XGBoost (full),4.09,4.28,0.9468,100.0%,SUSPICIOUS,"Directional accuracy (100.0%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
panamax,14d,Validation_Weighted_Ensemble (full),5.94,5.66,0.8905,97.6%,SUSPICIOUS,"Directional accuracy (97.6%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
panamax,30d,Validation_Weighted_Ensemble (full),7.13,7.92,0.7787,99.4%,SUSPICIOUS,"Directional accuracy (99.4%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
supramax,1d,Validation_Weighted_Ensemble (full),0.76,0.67,0.9983,94.1%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
supramax,7d,Validation_Weighted_Ensemble (full),3.87,3.1,0.9633,97.1%,SUSPICIOUS,"Directional accuracy (97.1%) reflects strong test-set market drift (upward trend in 2025-2026). Point forecasts valid, but directional metric overstated."
supramax,14d,Validation_Weighted_Ensemble (full),6.32,7.07,0.8301,79.9%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
supramax,30d,Validation_Weighted_Ensemble (full),8.8,8.69,0.7245,83.5%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
handy,1d,Validation_Weighted_Ensemble (full),0.66,0.71,0.9982,95.9%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
handy,7d,Validation_Weighted_Ensemble (full),3.51,3.09,0.9682,89.0%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
handy,14d,Validation_Weighted_Ensemble (full),5.66,4.84,0.9184,87.4%,VERIFIED,"Strict zero-lookahead, validation-locked, mathematically sound."
handy,30d,Validation_Weighted_Ensemble (full),9.78,12.17,0.2504,75.1%,SUSPICIOUS,Handy 30d model underperforms simple persistence baseline on test set.
